data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-12-06,2021-12-08,581802,12403811,38.0,38.0,154.0
2021-12-06,2021-12-10,578857,12403011,39.0,38.0,124.0
2021-12-06,2021-12-07,571379,11406311,122.0,38.0,459.0
2021-12-06,2021-12-06,837347,12404111,42.0,38.0,142.0
2021-12-06,2021-12-10,723653,1663853,38.0,38.0,145.0
2021-12-06,2021-12-13,737809,1655834,47.0,38.0,205.0
2021-12-06,2021-12-14,844903,11412611,38.0,38.0,168.0
2021-12-06,2021-12-10,574248,11406911,39.0,38.0,128.0
2021-12-06,2021-12-08,591464,12403031,40.0,38.0,143.0
2021-12-06,2021-12-08,735528,1693763,38.0,38.0,160.0
2021-12-06,2021-12-10,568368,11401511,40.0,38.0,142.0
2021-12-06,2021-12-08,731579,1655791,39.0,38.0,119.0
2021-12-06,2021-12-06,732031,1671087,38.0,38.0,152.0
2021-12-06,2021-12-13,596406,12409931,37.0,37.0,129.0
2021-12-06,2021-12-13,734576,1667786,37.0,37.0,130.0
2021-12-06,2021-12-09,738677,1663479,37.0,37.0,114.0
2021-12-06,2021-12-13,589012,11405931,38.0,37.0,136.0
2021-12-06,2021-12-13,580175,12403311,38.0,37.0,136.0
2021-12-06,2021-12-07,735608,1674940,41.0,37.0,166.0
2021-12-06,2021-12-08,731536,1665227,37.0,37.0,162.0
2021-12-06,2021-12-11,735115,1667802,37.0,37.0,160.0
2021-12-06,2021-12-06,578287,12401311,38.0,37.0,184.0
2021-12-06,2021-12-13,734809,1655834,37.0,37.0,161.0
2021-12-06,2021-12-13,602061,21400133,37.0,37.0,139.0
2021-12-06,2021-12-13,607203,"23400431,23400531",44.0,36.0,208.0
2021-12-06,2021-12-13,490611,23400531,42.0,36.0,132.0
2021-12-06,2021-12-13,590106,12400431,37.0,36.0,126.0
2021-12-06,2021-12-07,730810,1674940,43.0,36.0,134.0
2021-12-06,2021-12-13,571539,11405611,37.0,36.0,150.0
2021-12-06,2021-12-13,600424,21403431,38.0,36.0,92.0
2021-12-06,2021-12-13,589017,11405231,36.0,36.0,122.0
2021-12-06,2021-12-12,591633,12405731,36.0,36.0,142.0
2021-12-06,2021-12-13,582719,21401011,39.0,36.0,172.0
2021-12-06,2021-12-14,898149,11901401,36.0,36.0,137.0
2021-12-06,2021-12-13,601129,21403431,40.0,36.0,99.0
2021-12-06,2021-12-07,726246,1690524,36.0,36.0,169.0
2021-12-06,2021-12-13,774207,11400811,41.0,36.0,153.0
2021-12-06,2021-12-07,883867,1674940,40.0,36.0,189.0
2021-12-06,2021-12-14,581185,12405711,41.0,35.0,164.0
2021-12-06,2021-12-13,836313,12405531,36.0,35.0,110.0
2021-12-06,2021-12-10,836675,11410411,35.0,35.0,119.0
